zombie,-0.8
yay,0.8
wrong,-0.5
wrath,-0.7
wows,0.4
wow,0.4
worthy,0.8
worth,0.6
worst,-0.8
worse,-0.8
worrying,-0.7
worry,-0.7
worries,-0.7
worried,-0.7
works,0.5
worked,0.3
work,0.3
woo,0.3
wonderful,0.8
wonder,0.3
won,1.0
wise,0.7
wisdom,0.7
wins,1.0
winning,1.0
winners,1.0
winner,1.0
win,1.0
willing,0.3
wild,-0.6
wicked,-0.5
whore,-1.0
whining,-0.5
whine,-0.5
well-known,0.1
well,0.6
welcome,0.3
weirdly,-0.6
weird,-0.6
weed,-0.8
weary,-0.4
wealthy,0.2
weakness,-0.5
weaker,-0.5
weak,-0.5
wasting,-0.4
wasted,-0.4
waste,-0.4
wary,-0.4
warning,-0.3
warned,-0.3
warm,0.3
vulnerable,-0.4
vulgar,-0.6
virus,-0.5
violent,-0.4
vile,-0.8
victory,1.0
vicious,-0.5
vice,-0.4
vanity,-0.6
utterly,-0.3
useful,0.5
urgent,-0.5
upsets,-0.3
upset,-0.3
unusual,-0.1
unstable,-0.7
unrest,-0.5
unqualified,-0.8
unpopular,-0.6
unnoticed,-0.1
unlikely,-0.3
unleash,-0.1
unknown,-0.1
unity,0.6
unfortunately,-0.2
unfit,-0.7
unfavorable,-0.5
unfairly,-0.6
unexpected,-0.3
unethical,-0.1
unemployed,-0.6
undocumented,-0.4
undermine,-0.4
underestimate,-0.3
undecided,-0.3
uncouth,-0.2
unconstitutional,-0.5
uncomfortable,-0.4
unclear,-0.3
unbound,0.4
unbelievably,-0.5
unbelievable,-0.5
unable,-0.4
ugly,-0.8
ugliest,-0.8
ugh,-0.1
tyrant,-1.0
tyranny,-1.0
twists,-0.4
twist,-0.3
truthful,0.7
trustworthy,0.7
trusting,0.7
trusted,0.5
trust,0.7
trump,0.0
troubling,-0.5
trouble,-0.5
triumphant,0.9
triumph,0.9
trick,-0.4
treason,-1.0
treacherous,-0.9
traumatic,-0.7
trash,-1.0
trapped,-0.7
trap,-0.7
traitor,-1.0
toxic,-0.8
touts,-0.6
tough,0.4
tops,0.7
topple,-0.5
top,0.8
tired,-0.3
thwart,-0.2
thug,-0.7
thrilled,0.7
threats,-0.5
threatening,-0.5
threaten,-0.5
threat,-0.5
thoughtful,0.6
thirst,-0.1
thankful,0.5
thank,0.4
terrorism,-0.8
terror,-0.8
terrific,0.8
terribly,-0.8
terrible,-0.8
tension,-0.7
tense,-0.7
taxing,-0.2
tank,-0.3
talent,0.2
tacky,-0.6
syndrome,-0.6
swipe,-0.2
swift,0.1
sweet,0.5
sweeping,0.2
suspicious,-0.2
suspect,-0.2
survivor,0.1
surrender,-0.2
supreme,0.7
suppression,-0.3
suppress,-0.3
supports,0.8
supporting,0.9
supporter,0.6
supported,0.6
support,1.0
superb,0.7
super,0.9
suicide,-1.0
suffering,-0.3
suffered,-0.3
suffer,-0.2
sues,-0.1
sued,-0.1
sue,-0.1
sucks,-1.0
sucked,-1.0
suck,-1.0
successfully,1.0
successful,0.7
success,1.0
succeeded,0.9
succeed,0.7
stupidity,-1.0
stupid,-1.0
stunningly,0.7
stunning,0.8
stunned,0.3
stumps,-0.4
stump,-0.4
stuck,-0.3
struggling,-0.3
struggles,-0.3
struggle,-0.3
strongest,0.6
stronger,0.6
strong,0.8
striking,0.5
strike,-0.5
strangest,-0.2
stranger,-0.2
strange,-0.2
stolen,-0.6
stole,-0.6
stew,-0.4
steep,-0.1
steals,-0.6
stealing,-0.6
steal,-0.6
steady,0.4
stab,-0.7
spoiled,-0.7
splitting,-0.6
split,-0.6
spite,-0.5
spectacular,0.7
soundly,0.1
sorry,-0.5
sore,-0.5
solidarity,0.4
solid,0.7
soft,0.1
sneak,-0.5
snags,-0.5
smug,-0.5
smother,-0.5
smoke,-0.5
smile,0.2
smell,-0.5
smear,-0.5
smash,-0.6
smartest,0.8
smarter,0.8
smart,0.8
slowly,-0.3
slow,-0.3
sleazy,-1.0
slave,-0.6
slap,-0.5
slander,-0.6
sink,-0.3
sincerely,0.8
silly,-0.4
silent,0.1
significant,0.4
sick,-0.4
shun,-0.4
showdown,-0.4
shocking,-0.4
shocked,-0.4
shock,-0.4
shit,-0.5
sharply,-0.4
shameful,-0.6
shame,-0.6
sham,-0.6
shallow,-0.5
shake,-0.5
shady,-0.6
sexy,1.0
setback,-0.3
selfish,-0.8
secure,0.2
scum,-0.9
screwed,-0.9
scream,-0.5
scramble,-0.5
scary,-0.7
scariest,-0.7
scarier,-0.7
scared,-0.7
scare,-0.6
scandals,-0.5
